Site,715,N_scars,Length,Proximal_width,Medial_width,Distal_width,Thickness_at_medial,Platform_width,Platform_thickness,raw_material,raw_mat_simplified,Chert,Igneous,Other,Quartzite,N,E,Min,Mid,Max,Type,Prop_RT_Core,Count_RT_Core,Elongation,Convergence,PlatformArea,DorsalSA_TwoTrapezoids,Dorsal scar pattern,Region
Ksar Akil 28A,2331,3,36.14,17.11,16.39,1.46,5.05,17.08,6.28,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,2.205003051,11.23,107.2624,463.94725,Unidirectional Convergent,Levant
Ksar Akil 28A,2364,4,60.74,27.02,38.35,51.13,11.39,35.7,12.48,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.583833116,0.75,445.536,2351.39725,Unidirectional Convergent,Levant
Ksar Akil 28A,2518,5,70.57,37.86,46.99,21.32,10.08,35.68,12.48,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.501808896,2.2,445.2864,2702.1253,Unidirectional Convergent,Levant
Ksar Akil 28A,2519,7,42.71,37.61,37.84,9.06,12.06,37.07,14.36,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.128699789,4.18,532.3252,1306.392125,Unidirectional Convergent,Levant
Ksar Akil 28A,2663,5,70.92,20.27,30.34,18.52,9,18.83,4.28,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,2.33750824,1.64,80.5924,1763.6031,Unidirectional Convergent,Levant
Ksar Akil 28A,2691,5,58.59,23.96,34.58,17.2,3.99,18.09,5.12,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.694331984,2.01,92.6208,1615.9122,Unidirectional Convergent,Levant
Qafzeh XIX,16,3,27.68,24.45,25.69,11,5.62,24.05,6.11,chert,Chert,1,0,0,0,32.69957266,35.28457137,90,95,100,1,0.651685393,89,1.077462047,2.34,146.9455,600.8636,Unidirectional Convergent,Levant
Qafzeh XIX,21,8,46.36,42.89,39.96,12.09,6.96,39.03,10.6,chert,Chert,1,0,0,0,32.69957266,35.28457137,90,95,100,1,0.651685393,89,1.16016016,3.31,413.718,1563.491,Unidirectional Convergent,Levant
Qafzeh XIX,33,3,36.12,25.8,39.75,16,5.02,18.17,5.75,chert,Chert,1,0,0,0,32.69957266,35.28457137,90,95,100,1,0.651685393,89,0.908679245,2.48,104.4775,1095.339,Unidirectional Convergent,Levant
Qafzeh XIX,35,6,30.25,21.63,22.8,7.09,3.4,18.79,4.7,chert,Chert,1,0,0,0,32.69957266,35.28457137,90,95,100,1,0.651685393,89,1.326754386,3.22,88.313,562.045,Unidirectional Convergent,Levant
Qafzeh XIX,42,4,29.7,24,25.35,12,5.27,17.98,5.38,chert,Chert,1,0,0,0,32.69957266,35.28457137,90,95,100,1,0.651685393,89,1.171597633,2.11,96.7324,643.7475,Unidirectional Convergent,Levant
Qafzeh XIX,176,5,31.36,29.45,36.76,14,4.89,25.37,2.4,chert,Chert,1,0,0,0,32.69957266,35.28457137,90,95,100,1,0.651685393,89,0.853101197,2.63,60.888,917.0448,Unidirectional Convergent,Levant
Qafzeh XIX,281,3,53.97,27.25,37.19,17.07,6.39,36.66,5.94,chert,Chert,1,0,0,0,32.69957266,35.28457137,90,95,100,1,0.651685393,89,1.451196558,2.18,217.7604,1601.55975,Unidirectional Convergent,Levant
